id,hest_version_added,organ,species,st_technology,oncotree_code,disease_state,tissue,preservation_method,dataset_title,subseries,study_link,download_page_link1,download_source_prefix,license,data_publication_date,patient,patient_label,patient_label_status,donor_key_provisional,lab_provisional,lab_basis,pixel_size_um_estimated,pixel_size_um_embedded,px_pct_diff,resolution_uncertain,magnification,spots_under_tissue,nb_genes,inter_spot_dist,spot_diameter,fullres_px_width,fullres_px_height,in_benchmark,benchmark_task,duplicate_of,is_duplicate_of_other_id,nfiles_patches,nfiles_st,nfiles_cellvit_seg,nfiles_metadata,bytes_patches,bytes_st,bytes_cellvit_seg,bytes_metadata,bytes_four_components,bytes_wsis,bytes_transcripts,bytes_other_components,bytes_all_components
MISC12,v1_0_0,Brain,Homo sapiens,Visium,,Healthy,dorsolateral prefrontal cortex,Fresh Frozen,spatialLIBD,151507,https://www.nature.com/articles/s41593-020-00787-0#data-availability,https://github.com/LieberInstitute/spatialLIBD#raw-data,MISC,,,   ,,blank_whitespace,,Lieber Institute for Brain Development,doi-pubmed last-author affiliation (pmid=33558695),0.725134690792779,,,True,20x,4226,33538,100.0,55.0,13332,13332,False,,,False,1,1,2,1,653640472,55733104,36319855,941,745694372,471441814,0,472994290,1218688662
MISC120,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST13233997,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.671451562956571,63.500127,9357.141885319752,True,20x,3400,33538,100.0,55.0,11774,11965,False,,,False,1,1,2,1,501101168,62517174,4172937,913,567792192,328345840,0,339779112,907571304
MISC121,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST13233996,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.604461849920222,63.500127,10405.233210066253,True,20x,3052,33538,100.0,55.0,13152,13471,False,,,False,1,1,2,1,471065192,56629490,8351932,913,536047527,420824404,0,432122648,968170175
MISC122,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST13228106,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.603621730382294,63.500127,10419.854372999995,True,20x,3430,33538,100.0,55.0,13077,13548,False,,,False,1,1,2,1,531148048,67279246,14504054,913,612932261,408246154,0,418379133,1031311394
MISC123,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST13228105,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.604838709677419,63.500127,10398.687664000006,True,20x,2852,33538,100.0,55.0,13207,13435,False,,,False,1,1,2,1,408817152,53611770,9024179,913,471454014,350412104,0,360639069,832093083
MISC124,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST13228103,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.5999988,63.500127,10483.375666751333,True,20x,2942,33538,100.0,55.0,12997,13330,False,,,False,1,1,2,1,441636936,57985210,7435782,916,507058844,410161054,0,421499266,928558110
MISC125,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST12992075,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.503354597638206,31.7500635,6207.69315488022,True,20x,3478,33538,100.0,55.0,15987,16236,False,,,False,1,1,2,1,518599104,57145326,15866241,919,591611590,598663804,0,609700446,1201312036
MISC126,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST12992074,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.503245632584315,31.7500635,6209.058925549745,True,20x,4521,33538,100.0,55.0,15829,16103,False,,,False,1,1,2,1,693905552,82363322,24521042,919,800790835,624935992,0,636833282,1437624117
MISC127,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST12992072,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.503460189,31.7500635,6206.370234171584,True,20x,3802,33538,100.0,55.0,15610,16028,False,,,False,1,1,2,1,586288784,93428070,3428563,912,683146329,689237226,0,701521474,1384667803
MISC128,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,FFPE,Spatially resolved multiomics of human cardiac niches,HCAHeartST11702010,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455062440221303,31.7500635,6877.078460828258,True,40x,3982,17922,100.0,55.0,17424,17709,False,,,False,1,1,2,1,587960160,114640301,10259531,894,712860886,787455046,0,796763127,1509624013
MISC129,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,FFPE,Spatially resolved multiomics of human cardiac niches,HCAHeartST11702009,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455373217336239,31.7500635,6872.316836226307,True,40x,3533,17922,100.0,55.0,17243,17604,False,,,False,1,1,2,1,615674888,101092226,11314467,893,728082474,807187028,0,817899073,1545981547
MISC13,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Trachea,FFPE,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10972075,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455136156141542,,,True,40x,1768,17922,100.0,55.0,33264,18688,False,,,False,1,1,2,1,273782656,36141810,10433043,1078,320358587,327407724,0,328268135,648626722
MISC130,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,sinoatrial node,FFPE,Spatially resolved multiomics of human cardiac niches,HCAHeartST11702008,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455373217336239,31.7500635,6872.316836226307,True,40x,3533,17922,100.0,55.0,17222,17629,False,,,False,1,1,2,1,546469896,109888510,13363094,905,669722405,753607014,0,763819458,1433541863
MISC131,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST11350377,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.442476258463259,31.7500635,7075.5405838653305,True,40x,2807,33538,100.0,55.0,17721,18204,False,,,False,1,1,2,1,429562864,41429386,21649041,920,492642211,742889700,0,752715061,1245357272
MISC132,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,interventricular septum,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST11350375,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.442477394822145,31.7500635,7075.522155829458,True,40x,2843,33538,100.0,55.0,17861,18159,False,,,False,1,1,2,1,439317096,48087794,18713844,922,506119656,704546280,0,713853991,1219973647
MISC133,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST11290662,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.442134036736015,31.7500635,7081.094614291596,True,40x,3153,33538,100.0,55.0,17826,18163,False,,,False,1,1,2,1,448607360,44130890,19823047,920,512562217,817697398,0,831473317,1344035534
MISC134,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST11290659,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.441722145456507,31.7500635,7087.7907473231235,True,40x,2338,33538,100.0,55.0,17772,18231,False,,,False,1,1,2,1,332782920,34371130,17437860,920,384592830,764931502,0,775403136,1159995966
MISC135,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST11290658,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.441863096359557,31.7500635,7085.4978977841665,True,40x,2697,33538,100.0,55.0,17753,18250,False,,,False,1,1,2,1,372584032,32638218,16991907,919,422215076,790448668,0,801749562,1223964638
MISC136,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,atrioventricular node,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST11290657,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.441821902631525,31.7500635,7086.1678452096185,True,40x,2090,33538,100.0,55.0,17955,18186,False,,,False,1,1,2,1,311418584,24760538,20899133,920,357079175,790491008,0,803037584,1160116759
MISC138,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,interventricular septum,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST10550732,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455486386246653,31.7500635,6870.58451332217,True,40x,2199,33538,100.0,55.0,17532,17473,False,,,False,1,1,2,1,337742816,41065162,16098264,921,394907163,624627208,0,634502267,1029409430
MISC139,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,heart right ventricle,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST10550730,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455580865603645,31.7500635,6869.138938249995,True,40x,2562,33538,100.0,55.0,17634,17674,False,,,False,1,1,2,1,395494928,46642498,12909102,920,455047448,634159548,0,643863785,1098911233
MISC14,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Trachea,FFPE,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10972074,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.454544280620626,,,True,40x,1670,17922,100.0,55.0,33264,18688,False,,,False,1,1,2,1,246375832,33645914,7144767,1078,287167591,289425780,0,290379698,577547289
MISC140,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,apical region of left ventricle,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST10238253,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455235183890837,31.7500635,6874.430936694361,True,40x,2168,33538,100.0,55.0,17802,18044,False,,,False,1,1,2,1,334020168,55285466,5595752,929,394902315,429370548,0,436649662,831551977
MISC141,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,left cardiac atrium,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST10238252,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.455062497,31.7500635,6877.077590289757,True,40x,1702,33538,100.0,55.0,17890,18098,False,,,False,1,1,2,1,263409800,39528778,5701247,916,308640741,387630618,0,394689743,703330484
MISC142,v1_1_0,Heart,Homo sapiens,Visium,,Healthy,right cardiac atrium,Fresh Frozen,Spatially resolved multiomics of human cardiac niches,HCAHeartST10238251,https://www.nature.com/articles/s41586-023-06311-1#data-availability,https://www.heartcellatlas.org/,MISC,Creative Commons Attribution 4.0 International,,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=37438528),0.454958865343392,31.7500635,6878.666846295172,True,40x,1302,33538,100.0,55.0,18063,18100,False,,,False,1,1,2,1,201161760,28874434,5785047,919,235822160,404076336,0,412189636,648011796
MISC15,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,FFPE,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10972073,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455062571103527,,,True,40x,2501,17922,100.0,55.0,33264,18688,False,,,False,1,1,2,1,386668632,80060206,15503063,1078,482232979,455048900,0,456141560,938374539
MISC16,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,FFPE,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10972072,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455150875944359,,,True,40x,3154,17922,100.0,55.0,33264,18688,False,,,False,1,1,2,1,476478152,93455438,16715205,1079,586649874,530420416,0,531703788,1118353662
MISC17,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10193348,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.441498683368384,,,True,40x,1084,33538,100.0,55.0,38240,21600,False,,,False,1,1,2,1,161526208,12173514,1713130,1086,175413938,669206134,0,669952131,845366069
MISC18,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10193347,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.441607507187311,,,True,40x,2081,33538,100.0,55.0,35112,19720,False,,,False,1,1,2,1,314357048,17460126,10147895,1090,341966159,804643660,0,805766454,1147732613
MISC19,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10193346,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.441456651488973,,,True,40x,2454,33538,100.0,55.0,35112,19720,False,,,False,1,1,2,1,375058528,20701082,2749744,1090,398510444,831720696,0,832739905,1231250349
MISC2,v1_0_0,Brain,Homo sapiens,Visium,,Healthy,dorsolateral prefrontal cortex,Fresh Frozen,spatialLIBD,151675,https://www.nature.com/articles/s41593-020-00787-0#data-availability,https://github.com/LieberInstitute/spatialLIBD#raw-data,MISC,,,   ,,blank_whitespace,,Lieber Institute for Brain Development,doi-pubmed last-author affiliation (pmid=33558695),0.726108846433298,,,True,20x,3592,33538,100.0,55.0,13332,13332,False,,,False,1,1,2,1,552976352,59879950,36373783,939,649231024,423078196,0,424555806,1073786830
MISC20,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP10193345,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.4380718287556,,,True,40x,3316,33538,100.0,55.0,35112,19720,False,,,False,1,1,2,1,506061064,23009030,5073835,1090,534145019,959990706,0,961452755,1495597774
MISC21,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258469,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455926993,,,True,40x,2987,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,394257680,12325534,18573031,1087,425157332,376563626,0,377771202,802928534
MISC22,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258468,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456575673386068,,,True,40x,2704,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,392092496,34928154,20623208,1086,447644944,454505688,0,455751547,903396491
MISC23,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258467,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456100309130321,,,True,40x,436,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,66602136,17147734,2880206,1085,86631161,112687646,0,113250336,199881497
MISC24,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258466,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456008567285422,,,True,40x,875,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,119250600,10845086,2710123,1088,132806897,153638828,0,154424267,287231164
MISC25,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258465,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455728780340757,,,True,40x,2249,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,296704456,9719270,21031651,1088,327456465,339002492,0,340045266,667501731
MISC26,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258464,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456158076229035,,,True,40x,2524,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,381719640,39703466,19751699,1085,441175890,477042012,0,478182195,919358085
MISC27,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258463,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455864069622876,,,True,40x,408,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,61642240,15304854,2146476,1084,79094654,91484870,0,91981310,171075964
MISC28,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Parenchyma,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP9258462,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456204379562044,,,True,40x,863,33538,100.0,55.0,32832,18432,False,,,False,1,1,2,1,123735624,14878990,3067791,1087,141683492,145811280,0,146534032,288217524
MISC29,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP8759313,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.45572907,,,True,40x,2283,33538,100.0,55.0,16800,17136,False,,,False,1,1,2,1,322255408,20087942,4549127,1084,346893561,334950996,0,336413248,683306809
MISC3,v1_0_0,Brain,Homo sapiens,Visium,,Healthy,dorsolateral prefrontal cortex,Fresh Frozen,spatialLIBD,151674,https://www.nature.com/articles/s41593-020-00787-0#data-availability,https://github.com/LieberInstitute/spatialLIBD#raw-data,MISC,,,   ,,blank_whitespace,,Lieber Institute for Brain Development,doi-pubmed last-author affiliation (pmid=33558695),0.725123669492667,,,True,20x,3673,33538,100.0,55.0,13332,13332,False,,,False,1,1,2,1,566161696,87232383,45874561,939,699269579,426056928,0,427511083,1126780662
MISC30,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP8759312,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456242183900128,,,True,40x,2729,33538,100.0,55.0,16464,17360,False,,,False,1,1,2,1,410054400,22356334,11227751,1086,443639571,394072958,0,395644075,839283646
MISC31,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Bronchi,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP8759311,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.455926920042182,,,True,40x,2524,33538,100.0,55.0,16800,17064,False,,,False,1,1,2,1,372429376,24298218,9304770,1085,406033449,339154268,0,340658768,746692217
MISC32,v1_0_0,Lung,Homo sapiens,Visium,,Treated,Trachea,Fresh Frozen,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,WSA_LngSP8759310,https://www.nature.com/articles/s41588-022-01243-4,https://explore.data.humancellatlas.org/projects/957261f7-2bd6-4358-a6ed-24ee080d5cfc,MISC,Creative Commons Attribution 4.0 International License,21-Dec-22,   ,,blank_whitespace,,Wellcome Sanger Institute,doi-pubmed last-author affiliation (pmid=36543915),0.456273764258555,,,True,40x,1928,33538,100.0,55.0,16800,17680,False,,,False,1,1,2,1,281835672,18326226,5311382,1085,305474365,318052018,0,320077548,625551913
